nazev	lat	lon	nehod	lehce	tezce	usmrceno
Bubenská třída	50.10468	14.43635	7	0	0	0
Špejchar	50.09811	14.40749	1	0	0	0
na Hradčanské	50.09768	14.40474	1	0	0	0
Veleslavínský	50.09520	14.34800	2	0	0	0
ulice Krajní	50.09054	14.32893	2	1	3	0
ul. U stanice	50.08983	14.32529	2	1	0	1
ulice Litovická	50.08932	14.32439	2	0	1	0
Ruzyně (ul. Drnovská)	50.08390	14.30984	2	1	0	0
ulice „Lidická“	50.09296	14.21461	2	0	0	0
	50.09306	14.21461	2	0	0	0
Jeneč - Unhošť	50.09229	14.18698	6	0	0	0
Jeneč - Unhošť	50.09476	14.16607	3	0	0	0
Jeneč - Unhošť	50.09761	14.16178	2	0	0	0
Jeneč - Unhošť	50.10461	14.13877	4	0	0	0
U masokombinátu	50.11659	14.11925	3	1	0	0
Kladno - Kamenné Žehrovice	50.12691	14.08994	1	0	0	0
u zastávky Kladno - Rozdělov	50.13191	14.06692	1	0	0	0
Bílé Vršky	50.13293	14.05128	2	0	0	0
žst. Kamenné Žehrovice	50.14052	14.03449	1	0	0	0
žst. Stochov	50.14168	13.96072	2	0	1	0
Stochov - Nové Strašecí	50.13480	13.90636	1	0	0	0
Nové Strašecí - Řevničov	50.14901	13.83827	1	0	0	0
Lužná u Rakovníka - Krupá	50.15774	13.74453	2	0	0	0
Krupá - Hranice OŘ-ST 665/671	50.17107	13.71563	2	0	0	0
Krupá - Hranice OŘ-ST 665/671	50.20185	13.67136	1	0	0	0
Hranice OŘ-ST 665/671 - Měcholupy	50.23170	13.59857	1	0	0	0
Hranice OŘ-ST 665/671 - Měcholupy	50.25351	13.56392	1	0	0	0
Měcholupy - Trnovany	50.28185	13.55717	1	0	0	0
žst. Žatec	50.33872	13.54966	2	0	0	0
ulice Lounská	50.33868	13.54946	2	0	0	0
Velichov - Hořetice	50.36482	13.54157	2	0	0	0
Velichov - Hořetice	50.37721	13.50895	1	0	0	0
žst. Hořetice	50.37998	13.50101	4	1	0	0
Hořetice - Březno u Chomutova	50.38174	13.48002	1	0	0	0
Hořetice - Březno u Chomutova	50.39311	13.42834	3	0	0	0
ul. Pražská	50.38637	13.19189	2	0	0	0
žst. Ostrov nad Ohří	50.30036	12.95252	5	0	0	0
Hájek - Dalovice	50.27342	12.91309	1	0	0	0
Hájek - Dalovice	50.27243	12.91017	1	0	0	0
žst. Dalovice	50.25678	12.88635	3	1	0	1
Teplárenská ulice	50.24302	12.87964	3	0	0	0
Karlovy Vary-Dvory - Chodov-karlovarské zhlaví	50.23516	12.79043	3	0	0	0
Karlovy Vary-Dvory - Chodov-karlovarské zhlaví	50.22960	12.76726	3	1	1	0
žst. Dasnice	50.13567	12.56814	1	0	0	0
žst. Kynšperk n.Ohří	50.12891	12.52171	2	0	0	0
Nebanice - Tršnice	50.11599	12.47528	1	0	0	0
Nebanice - Tršnice	50.11684	12.43986	1	0	0	0
Hradiště	50.09292	12.39604	8	1	0	0
Tršnice - Nový Drahov	50.14498	12.40190	1	0	0	0
LB MINERALS Skalná - Velký Luh	50.18671	12.37598	2	0	1	0
LB MINERALS Skalná - Velký Luh	50.20312	12.37254	1	0	0	0
Nový Kostel - Luby u Chebu	50.22104	12.42115	1	4	1	0
žst. Svatava - ZV 5	50.18899	12.62670	2	0	0	0
Svatava - Oloví	50.24379	12.56534	1	0	0	0
Oloví - Rotava	50.25896	12.55300	2	0	0	0
Oloví - Rotava	50.28133	12.54582	2	0	0	0
Kraslice - Kraslice st.hr.	50.34043	12.49690	1	0	0	0
Stará Role - Nová Role	50.24730	12.82964	5	0	0	0
Stará Role - Nová Role	50.26946	12.78288	6	6	1	0
Stará Role - Nová Role	50.27143	12.77976	4	0	0	0
SEDLECKÝ KAOLIN Božičany - Nová Role	50.27143	12.77976	4	0	0	0
Nová Role - Nejdek	50.27497	12.78034	4	0	0	0
Nová Role - Nejdek	50.30048	12.75299	1	0	0	0
Nová Role - Nejdek	50.30540	12.75470	1	0	0	0
žst. Nejdek	50.31963	12.73272	2	0	1	0
žst. Nejdek	50.31965	12.73078	1	1	0	0
Nejdek - METALIS	50.32331	12.72582	1	0	0	0
METALIS - Nové Hamry	50.33210	12.71954	2	1	0	0
METALIS - Nové Hamry	50.34294	12.71053	1	0	0	0
Merklín - Hroznětín	50.31331	12.86128	1	1	0	0
Hroznětín - Sadov	50.30593	12.86904	1	5	0	1
Chodov-staniční kolejiště - CHODOS	50.23896	12.76171	2	1	0	0
SEDLECKÝ KAOLIN Božičany - Nová Role	50.26226	12.77938	1	0	0	0
U závodiště	50.01177	14.38885	5	1	1	0
U závodiště	50.01177	14.38885	5	1	1	0
U závodiště	50.01177	14.38885	5	1	1	0
u okrsku, ul. Na Betonce	49.98402	14.36170	10	1	0	0
Praha-Radotín - Dobřichovice	49.97496	14.34653	2	0	0	0
Černošice-velký, ul.Radotínská	49.96043	14.32359	4	0	0	0
ul. Kazínská, Vrážská	49.95932	14.32342	4	0	2	0
za zast. Černošice Mokropsy	49.94424	14.32906	2	0	0	0
Praha-Radotín - Dobřichovice	49.93147	14.30202	4	0	0	0
ul. Svážná	49.92671	14.28374	1	0	0	1
u mostu	49.92499	14.27677	10	0	0	0
Řevnice - Zadní Třebaň	49.91934	14.20927	1	0	0	0
Zadní Třebaň - Karlštejn	49.93231	14.17978	5	0	0	0
žst. Karlštejn	49.93121	14.16495	1	0	0	0
Karlštejn - Beroun-os.n.	49.93329	14.13175	2	1	0	0
okresní silnice	49.94553	14.04656	2	1	0	0
u KDC (Cementky)	49.94553	14.04656	2	1	0	0
okr.silnice na Křižatky	49.93782	14.03014	4	0	0	0
okr.silnice	49.79159	13.49103	4	1	0	0
Polní	49.76560	13.22521	1	0	0	0
okr.silnice III	49.76273	13.03960	1	0	0	0
okr.silnice	49.89485	12.72269	2	0	0	0
silnice I tř. č.21	49.89940	12.72661	4	1	1	0
U nádraží	49.95578	12.69842	1	1	0	0
okr.silnice	49.99382	12.60985	1	0	0	0
Lipová u Chebu - Cheb (velenické staničení)	50.04966	12.41152	1	0	0	0
Vojtanov-ČR - Františkovy Lázně	50.13335	12.33915	7	0	0	0
Františkovy Lázně - Hazlov	50.13335	12.33915	7	0	0	0
Hazlov - Aš	50.16990	12.25512	1	0	0	0
Aš - Aš město	50.21605	12.18764	3	2	0	0
Aš město - Studánka	50.21967	12.18100	3	2	0	0
Studánka - Hranice v Čechách	50.27858	12.17547	1	0	0	0
Mariánské Lázně - Vlkovice	49.95874	12.70521	1	1	0	0
Teplá - Poutnov	49.97683	12.85814	1	0	0	0
Krásný Jez - Teplička u Karlových Varů	50.12367	12.84903	1	0	0	0
Krásný Jez - Teplička u Karlových Varů	50.14880	12.85292	1	2	2	0
Karlovy Vary-Březová - Karlovy Vary dol.n.	50.22859	12.84984	2	5	0	0
Loket - Nové Sedlo u Lokte	50.19228	12.74889	7	4	0	0
mistní u zastávky	49.88472	12.97407	1	0	0	0
okr.silnice II.tř	49.79490	13.48933	3	3	0	0
okresní silnice	49.81495	13.55909	1	0	0	0
okr.silnice	49.81687	13.57132	2	0	0	0
mistní	49.86002	13.59347	1	0	0	0
žst. Písek	49.29405	14.14608	3	0	0	0
Písek - Čížová	49.30191	14.13663	1	0	0	0
Písek - Čížová	49.31673	14.12935	3	2	0	0
Dobešický	49.32767	14.10996	3	2	1	3
U Čížové	49.35578	14.09979	1	0	0	0
Vráž u Písku - Čimelice	49.41645	14.10826	1	0	0	0
Vráž u Písku - Čimelice	49.44111	14.09458	1	0	0	0
Vráž u Písku - Čimelice	49.45995	14.07459	3	0	0	0
Mirovice - Březnice	49.51339	14.02806	2	0	1	1
Mirovice - Březnice	49.55699	13.96672	1	0	0	0
Březnice - Přední Poříčí	49.56081	13.95906	3	6	0	1
okr.silnice	49.58498	13.97817	7	0	0	0
okresní silnice	49.58764	13.98505	1	0	0	0
okresní silnice	49.59501	13.99443	1	0	0	2
okresní silnice	49.63209	14.02612	2	0	0	0
okr.silnice	49.69769	14.00147	2	0	0	0
okr.silnice	49.71434	14.01012	1	0	0	0
okr.silnice	49.74193	14.00086	6	1	1	2
obecní cesta	49.77763	14.00042	2	2	0	0
okr.silnice	49.79340	13.98232	2	0	0	1
souběh trati 0291, okr.silnice	49.84869	13.97472	1	0	0	0
souběh trati 0291, okr.silnice	49.84869	13.97472	1	0	0	0
souběh trati 0291, okr.silnice	49.85363	13.97525	1	0	0	0
souběh trati 0291, okr.silnice	49.85363	13.97525	1	0	0	0
okresní silnice III tř.	49.90090	14.16503	1	1	0	0
okr.silnice	49.85710	14.10043	2	1	0	0
Hostomice pod Brdy - Neumětely	49.83603	14.02379	2	0	0	0
okr.silnice	49.85492	13.98474	1	1	0	0
Domažlická ulice	49.74055	13.34234	2	0	1	0
Vejprnice-Líně	49.72799	13.27884	2	0	0	0
Tlučná MK	49.72437	13.24161	1	1	0	0
Nýřany-Blatnice	49.71281	13.20375	1	0	0	0
Stod - plz. zhlaví	49.64197	13.15793	1	0	0	0
Hradec u Stoda	49.63627	13.12311	2	1	0	1
do průmyslové zóny	49.60741	13.10313	4	0	0	0
I.tř. č.26 Plzeň-Domažlice	49.59438	13.10076	4	2	0	0
Staňkov-H.Kamen.	49.55330	13.07832	1	0	0	0
Staňkov-Krchleby	49.55090	13.07705	1	0	0	0
Chotiměř-Chotiměř	49.50716	13.01988	1	1	0	0
Domažlice-Bořice	49.43042	12.96362	1	0	0	0
Domažlice-Klatovy	49.43091	12.95636	4	0	0	0
