nazev	lat	lon	nehod	lehce	tezce	usmrceno
Domažlice-Domažlice MK	49.43699	12.93262	1	0	0	0
Nýřany	49.71714	13.19077	2	0	0	0
Nýřany - Kamenný Újezd	49.71728	13.18390	2	1	0	0
Hor.Týn MK /cesta-pole	49.52303	12.92475	1	0	0	0
Meclov III.tř 1962	49.51191	12.87885	2	1	0	0
Zámělič st.sil./zastávka	49.51619	12.83313	1	0	0	1
zast. Havlovice st.sil. I./26	49.41658	12.87335	5	1	2	0
Trhanov-Chodov-Pec st.sil.	49.41802	12.84131	2	4	0	0
Chodov-Trhanov st.sil.	49.41960	12.83986	1	0	0	0
Klenčí st.sil. II.tř.	49.43827	12.82328	3	2	0	0
Vlkanov - Ohnišťovice 19522	49.49082	12.81766	1	1	0	0
Otov-Poběžovice st.sil.	49.50588	12.81548	1	2	0	0
Hor.Týn-Poběžovice st.sil.	49.51271	12.81743	3	0	0	0
Svržno-Újezd st.sil.	49.57659	12.76643	2	2	0	0
Újezd-Bělá st.sil.	49.57913	12.74558	3	3	0	0
Třemešné - Dubec	49.62804	12.70738	1	0	0	0
Bor - Tachov II.tř.200	49.72165	12.77876	1	0	0	0
Částkov II/198 u zast.Pernolec	49.77125	12.67861	2	0	0	0
Tachov MK	49.80455	12.65061	1	1	0	0
Holostřevy st.sil. II.tř.	49.72243	12.86927	1	1	0	0
Skviřín st.sil.	49.71319	12.81357	1	0	0	0
Pocínovice - Běhařov státní s	49.34367	13.13761	1	0	0	0
Zelená Lhota u žst.-Prenet	49.25082	13.17802	1	0	0	0
Janovice-Běhařov st.sil.	49.34956	13.20046	2	0	0	0
Janovice-Běhařov st.sil.	49.34956	13.20046	2	0	0	0
Rohozno st.sil.	49.37428	13.22699	3	0	0	0
Klatovy-Domažlice st.s.č.22	49.39165	13.25309	2	0	0	0
Borovy st.sil. II.tř. č.182	49.52661	13.29917	1	0	0	0
Přeštice-Cihelna	49.57899	13.32124	2	0	0	0
Přeštice Zastávka	49.60061	13.29913	3	0	0	4
Keramička st.sil. III.tř.	49.62349	13.29265	1	0	0	0
Šlovice st.sil. III.tř.	49.67648	13.31988	1	0	0	0
Šlovice - pole/domek	49.68278	13.32503	1	0	0	0
Samaritská ulice	49.72879	13.38093	1	0	0	0
Přechod zastávka Plzeň	49.73778	13.37417	1	0	0	0
Sušice - Hrádek , Žichovice	49.24631	13.53901	4	0	0	0
Hrádek u S. - Sušice	49.25771	13.49881	2	0	0	0
Malonice pole-Jindřichovice po	49.29281	13.38896	1	0	0	0
Malonice - Jindřichovice	49.29700	13.37389	3	0	0	0
Nemilkov - Běšiny II.tř.	49.28312	13.34600	3	0	0	0
st.sil. III.tř.	49.30738	13.30019	1	0	0	0
Luby - pole	49.36097	13.30257	1	0	0	0
Luby - Sobětice	49.37457	13.30463	1	0	0	1
Klatovy - zahrádky - Vodárny	49.39118	13.28589	2	4	1	0
ČZ	49.25340	13.91043	1	0	0	0
u ČZ	49.25014	13.91112	1	1	0	0
K silu	49.23532	13.90891	2	0	0	0
Strakonice - Strunkovice nad Volyňkou	49.23205	13.90171	1	0	0	0
Strunkovice nad Volyňkou - Volyně	49.17371	13.89392	1	0	0	1
MOTOTECHNA Volyně - Čkyně	49.14992	13.90593	2	1	0	1
Hradčanský	49.11041	13.83508	4	0	0	1
Čkyně - Bohumilice v Čechách	49.09380	13.80731	1	1	0	0
Vimperk - BRLOH	49.04858	13.76342	1	1	0	0
Lenora - Volary	48.92299	13.79794	1	0	0	0
Hlavní lenorský	48.92222	13.81088	1	0	0	0
ulice Ottova	50.10036	13.72576	5	0	0	0
ulice Ottova	50.10036	13.72576	5	0	0	0
Rakovník - Rakona	50.10108	13.71911	1	0	0	0
"""k ZZN"""	50.10110	13.71920	1	0	0	0
KERAMO, ATESO - Senomaty	50.09646	13.65502	1	1	0	0
Senomaty - Pšovlky	50.09302	13.63368	1	0	0	0
Pšovlky - Oráčov	50.10530	13.59583	1	0	0	0
Jesenice - Blatno u Jesenice	50.09044	13.43451	1	0	0	0
Buděš.ul./Vít.Nováka	48.95437	14.47236	2	0	0	1
Pařízka ul.(Plavská sil.)již.z	48.95937	14.47589	1	1	1	0
"Mladé \""C\""-Novohradská ul."	48.96098	14.48901	1	1	0	0
"""V Mladém"""	48.96101	14.48899	1	1	0	0
"\""Novohradská silnice\"""	48.77547	14.93506	5	2	1	0
"\""Fišerky\"" ,u Nakolického ryb."	48.79165	14.89130	1	0	0	0
zastávka Hluboká u Borovan	48.89621	14.67535	2	0	1	0
Jílovice - Borovany	48.89786	14.65761	1	1	0	0
"\""u hnoje\"""	48.92738	14.55254	1	1	0	0
Nová Ves u Č.Budějovic - Č.Budějovice-stav.1	48.92501	14.51816	1	0	1	0
"\""Vidovský\"""	48.94560	14.50260	1	0	0	0
Říční/Ke studánce,zast.N.Hoděj	48.95137	14.49906	2	2	0	0
"\""A\"" Sfinx"	48.98057	14.48657	3	1	0	0
"\""B\""u Křížku"	48.98215	14.48572	1	0	0	0
"\""A\"" Motor"	48.99835	14.47780	1	1	0	0
	48.99835	14.47780	1	1	0	0
"\""B\""mezi výh.1,2,3 -Nemanic.ul."	49.00329	14.47749	2	0	0	0
"\""F\"" Sokolovna"	49.00883	14.47699	2	0	1	2
Bezdrevský	49.03804	14.40895	3	5	0	0
Dívčice hlavní	49.10387	14.30360	1	0	0	0
	49.10392	14.30374	1	0	0	0
Dubenecký 1	49.11395	14.29357	1	0	0	0
Hlavní	49.15061	14.22280	1	0	0	0
U zastávky	49.19675	14.22258	4	3	0	1
Ke hřbitovu	49.19927	14.22253	2	2	0	1
U Protivína	49.21562	14.20345	6	0	0	0
Na vysoké	49.24991	14.08180	1	0	2	0
K cihelně	49.25111	14.01937	1	0	0	0
Sedlíkovický	49.25447	13.99242	3	1	0	0
Na Poříčí	49.28885	13.80076	2	1	1	0
U zastávky Velký Bor	49.34594	13.70017	8	0	0	0
Kovčín - Nekvasovy	49.41940	13.60931	2	0	1	1
U stavědla č.2	49.50061	13.60799	1	0	0	0
U zastávky Srby	49.52435	13.59183	2	0	0	0
Blovice U SILA	49.57183	13.53642	2	0	1	0
státní u stavědla č. 1	49.57844	13.53153	3	1	0	0
státní silnice	49.67140	13.50161	1	0	0	0
U stavebnin Šabata	49.73608	13.60202	3	2	0	0
U zastávky Rokycany předměstí	49.73141	13.60357	7	0	0	0
U zastávky Kamenný Újezd u R.	49.72235	13.61757	1	0	0	0
U zahradníka - Na ovčíně	49.71436	13.65198	1	0	0	0
u vlečky STELL Rosso	49.68401	13.66181	1	0	0	0
Příkosice - na Štitov	49.66826	13.66562	1	0	0	0
před nádražím	49.66344	13.65535	1	0	0	0
státní u zastávky Lipnice	49.64493	13.60941	1	0	0	0
Lipnice - Nezvěstice	49.66037	13.55499	2	0	0	0
Kasejovice - Kotouň	49.46116	13.73286	1	0	0	0
Stará hudčická zastávka	49.53656	13.93601	3	0	0	1
Koupský vršek	49.52852	13.91777	3	0	0	0
Bělčice pod višňovkou	49.49707	13.88479	1	0	0	0
Bezdědovice	49.44485	13.87600	1	0	0	0
Směr Hajany	49.43195	13.87439	2	1	0	0
U školy	49.42707	13.86762	4	1	0	0
Zabořský	49.41334	13.87239	1	0	0	0
Mačkov	49.40169	13.88557	1	0	0	0
Němčice	49.39409	13.91635	1	0	0	0
Písek státní	49.36936	13.95461	1	0	0	0
Milava	49.35689	13.95518	1	0	0	0
Radomyšl	49.32004	13.94773	2	0	0	0
Domanice hlavní	49.30685	13.92330	1	1	0	0
Řepice VÚD	49.27849	13.91376	2	0	0	0
Elektrárna	49.27159	13.92229	1	0	0	0
Stožický	49.14405	14.17262	3	1	0	0
Pod Pražákem	49.14686	14.14582	3	1	0	1
Žernovický	49.01242	14.00651	1	0	0	0
	49.01242	14.00655	1	0	0	0
U Maršana	48.98917	14.02407	1	0	0	0
Chroboly - Zbytiny	48.95082	14.05587	1	0	0	1
Na Lipno	48.90803	13.88760	1	0	0	0
U Harvalíka	48.90264	13.87415	1	0	0	0
U Harvalíka	48.90264	13.87415	1	0	0	0
Pod Křížem	48.86216	13.86474	1	0	0	0
Temelín hlavní	49.19500	14.34337	1	0	0	0
	49.19527	14.34321	1	0	0	0
Do Bohunic	49.19873	14.38004	1	1	0	0
Bohunický	49.21968	14.39847	1	0	0	0
Cihelňácký	49.21729	14.40966	1	3	0	0
U cihelny	49.05681	14.20329	2	0	0	0
U zahrad	48.94418	14.47002	2	0	1	1
K samotám	48.93487	14.46420	4	2	0	0
Boršov	48.92631	14.44262	1	1	0	0
Vrábče	48.91683	14.35691	2	0	0	0
U plynu	48.91504	14.35520	1	1	0	0
Švanďák	48.89748	14.32163	1	1	0	0
Holubov	48.89298	14.32517	2	0	0	0
Třísov hlavní	48.88634	14.34236	2	1	0	0
zast. Třísov	48.88358	14.34832	1	0	0	0
Zlatá Koruna	48.85194	14.35350	1	0	0	0
Srnín	48.84088	14.34375	1	0	0	0
Český Krumlov	48.82217	14.31528	1	0	0	0
U statku	48.81933	14.29032	1	0	0	0
Na Karláku	48.75072	14.05348	1	1	1	2
Nová Pec	48.78991	13.95067	1	0	0	0
	48.78972	13.95056	1	0	0	0
U prostřední boudy	48.82747	13.93380	1	1	0	0
Polní	48.84157	13.92511	1	0	0	0
do závodu Orlík - Škoda JE	49.80275	13.39493	2	2	0	0
Revoluční ul.	49.81092	13.40133	1	0	0	1
st.silnice	49.81963	13.39245	1	0	0	0
okr.silnice	49.85043	13.37944	1	0	0	0
okr.silnice	49.87116	13.40322	1	0	0	0
st.silnice I./27	49.87283	13.38793	6	2	1	1
statní silnice	49.89405	13.37892	3	0	0	0
polní	49.98808	13.36856	1	0	0	0
okr.silnice	50.09367	13.39292	1	0	1	0
Petrohrad - Kryry	50.14112	13.43108	1	0	0	0
Kryry - Vroutek	50.16447	13.39938	2	1	0	0
Kryry - Vroutek	50.17956	13.37680	1	0	0	0
žst. Vroutek	50.18223	13.37631	1	0	0	0
Podbořany - Kaštice	50.22583	13.40643	2	1	0	0
Podbořany - Kaštice	50.23184	13.40671	1	0	0	0
Podbořany - Kaštice	50.23391	13.40846	1	0	0	0
žst. Kaštice	50.26023	13.41810	3	10	3	0
Žabokliky	50.33197	13.46740	2	8	0	0
Ovčín (poč. náprav)	50.33189	13.50176	1	0	0	0
Žabokliky - Žatec západ	50.33521	13.52563	3	0	1	1
Žatec západ - Žatec	50.33839	13.54825	1	0	0	0
Rakona - Lubná	50.08108	13.69483	2	0	0	0
Zavidov - Čistá	50.05552	13.62816	1	0	0	0
Čistá - Kralovice u Rakovníka	49.98969	13.49229	1	0	0	0
dD3 Kralovice u Rakovníka	49.98831	13.48838	1	0	0	0
Blatno u Jesenice - Lubenec	50.11102	13.38479	1	0	0	0
Lubenec - Chyše	50.11185	13.24984	1	0	0	0
Pětipsy - Poláky	50.32359	13.34605	1	0	0	0
Bažantnice - Březno u Postoloprt	50.35269	13.72003	1	0	0	0
Louny předměstí-stav.I - Louny město	50.34871	13.78275	1	0	0	0
Louny město - Louny	50.35344	13.80542	4	0	0	0
Louny město - Louny	50.35761	13.81011	2	0	0	0
Žatec - Lišany u Žatce	50.34501	13.63980	1	1	0	0
žst. Počerady	50.41806	13.68568	2	0	0	0
žst. Ústí n.L.záp.-průmyslová kol. - kol. mezi výh.č.1S,1V,1F,1J,1C	50.65641	14.00331	1	0	0	0
lokodepo	50.65605	14.01207	1	0	0	0
Bohosudov	50.67229	13.87453	1	0	0	0
Proboštov	50.66169	13.83879	1	0	0	0
Zemská-Ditmar	50.65831	13.83542	3	1	0	0
Teplice E.Dvořákové u Knotka	50.65589	13.83410	1	0	0	0
Teplice v Čechách - Řetenice	50.64236	13.81333	6	0	0	0
Krušnoh. strojírny	50.64262	13.79285	1	0	0	0
	51.07360	14.32437	1	0	0	0
Dolní Rybník - Chomutov město	50.47448	13.42595	1	0	0	2
Chomutov-os.n. - Černovice u Chomutova	50.46228	13.40377	6	2	1	0
dD3 Černovice u Chomutova	50.45710	13.36476	1	0	0	0
Křímov	50.48732	13.29059	2	0	0	0
KAMENOLOM Č.Hamry - Vejprty	50.49028	13.03338	1	0	0	0
Háj zast.	50.61923	13.72507	1	0	0	0
Hájský přejezd	50.61927	13.72511	1	0	0	0
Osek - Louka u Litvínova	50.59920	13.67769	7	3	0	0
Dolní Rybník - Jirkov	50.48450	13.44199	3	0	1	0
Dolní Rybník - Jirkov	50.48506	13.44259	4	2	2	0
spojka hl.-záp.	50.76959	14.19831	1	0	0	0
Novosedlice zast.	50.65904	13.82050	1	0	0	0
Úpořiny - Žalany	50.59183	13.88122	1	0	0	0
u vč. 1	50.58876	13.96211	3	0	0	0
U ŽST	50.58189	14.00129	1	0	0	0
M.Žernoseky	50.53407	14.04730	1	0	0	0
Chotiměř - Lovosice	50.52495	14.04586	1	0	0	0
na Miladu	50.64612	13.98117	1	0	0	0
u Lihovaru	50.64108	13.98385	3	2	0	0
Ústí nad Labem západ-Trmice - Řehlovice	50.61639	13.96884	3	1	0	0
Řehlovice - Úpořiny	50.60867	13.93737	1	0	1	0
žst. Úpořiny	50.61155	13.88207	2	0	0	0
U OSPAPU	50.61155	13.88207	2	0	0	0
Úpořiny - Ohníč	50.60546	13.85870	1	0	0	0
Řetenice - Teplice zámecká zahrada	50.64216	13.79261	2	0	0	0
Duchcovský	50.63697	13.79548	1	0	0	0
Řetenice - Teplice zámecká zahrada	50.63435	13.80234	2	0	0	0
Teplice zámecká zahrada - Bystřany v Čechách	50.63258	13.81860	2	0	1	0
Teplice zámecká zahrada - Bystřany v Čechách	50.63151	13.82236	1	0	1	0
Bystřany v Čechách - Úpořiny	50.62118	13.87032	1	0	0	0
Bystřany v Čechách - Úpořiny	50.61242	13.88346	2	0	0	0
Kralupy nad Vltavou předměstí - Velká Bučina	50.23608	14.26951	1	0	0	0
Kralupy nad Vltavou předměstí - Velká Bučina	50.23838	14.26301	2	0	0	0
Kralupy nad Vltavou předměstí - Velká Bučina	50.24528	14.25493	1	0	0	0
Kralupy nad Vltavou předměstí - Velká Bučina	50.24762	14.25356	3	1	0	0
U Kréty	50.23186	14.29124	1	0	0	0
Kralupy nad Vltavou předměstí - Olovnice	50.23242	14.25474	1	0	0	0
Olovnice - Zvoleněves	50.23504	14.24109	1	0	0	0
Olovnice - Zvoleněves	50.23928	14.20572	1	1	0	1
žst. Zvoleněves	50.23420	14.19010	1	0	0	0
ulice Pražská	50.22659	14.10357	1	0	0	0
žst. Slaný	50.23121	14.07734	1	1	0	0
Slaný - Zlonice	50.23403	14.07786	2	0	0	0
Slaný - Zlonice	50.27120	14.07458	1	0	0	0
Zlonice - Klobuky v Čechách	50.29177	14.02313	1	1	2	0
Louny - Lenešice	50.37484	13.78968	3	0	0	0
Lenešice - Břvany	50.39818	13.71890	5	2	4	0
Břvany - Bečov u Mostu	50.41775	13.72294	1	0	0	0
Bečov u Mostu - Obrnice	50.46460	13.71378	1	0	0	0
Obrnice - Most	50.50628	13.69311	1	0	0	0
Most nové nádraží - Most-Herkules seř.n.	50.56417	13.62344	2	0	0	0
Lom zast.	50.59822	13.65163	1	0	0	0
Dubí - Mikulov-Nové Město	50.70221	13.70212	1	0	1	0
ul. Výmolova, ke hřbitovu	50.05607	14.39342	2	0	1	0
Na Radosti	50.06092	14.30409	1	1	0	0
ul. ŽalanskéhoXStrojírenská	50.06702	14.29013	3	0	0	0
ke hřbitovu	50.06743	14.28529	1	0	2	1
Beroun-Závodí - Vráž u Berouna	49.96880	14.08167	1	2	0	0
Beroun-Závodí - Vráž u Berouna	49.97008	14.08202	2	1	0	0
žst. Vráž u Berouna	49.98487	14.12566	1	0	0	0
Loděnice - Nučice-odb. KND	50.00817	14.19605	1	0	0	0
Nučice - Ing. Fr. Hustoles	50.02511	14.22922	2	0	0	0
Nučice - Ing. Fr. Hustoles	50.03097	14.23293	1	0	0	0
ul. Slivenecká	50.04077	14.39371	1	0	0	0
žst. Praha-Řeporyje	50.03196	14.31081	1	0	0	0
hranice k.ú. Řeporyje-Zbuzany	50.02957	14.29500	1	0	1	0
Praha-Řeporyje - Rudná u Prahy	50.03191	14.25845	6	1	1	2
Praha-Řeporyje - Rudná u Prahy	50.03976	14.24720	2	0	0	0
Rudná u Prahy - Hostivice-Litovice	50.04651	14.22618	1	0	0	0
Rudná u Prahy - Hostivice-Litovice	50.06896	14.22234	2	0	0	0
Ulice „Nádražní“	50.12270	14.25337	1	1	0	0
	50.12271	14.25338	1	1	0	0
Středokluky - FM ČESKÁ Tuchoměřice	50.13651	14.26863	1	1	0	0
Noutonice - Podlešín	50.18221	14.24712	1	0	0	0
Noutonice - Podlešín	50.20663	14.19585	1	0	0	0
Noutonice - Podlešín	50.20821	14.18868	1	0	0	0
Za okrskem	50.50946	14.04746	2	0	0	0
LABENA Sulejovice - Čížkovice	50.49980	14.03681	1	0	0	0
u zast. Úpohlavy	50.46521	14.03781	3	1	0	0
Chotěšov	50.44286	14.07085	2	4	0	0
Veltěže	50.35841	13.85861	2	1	0	0
Louny - Koštice n. Ohří	50.38392	13.94173	1	0	0	0
Koštice nad Ohří - Libochovice	50.40093	13.95566	1	0	0	0
Koštice nad Ohří - Libochovice	50.40769	14.03809	3	0	0	0
Koštice nad Ohří - Libochovice	50.40780	14.04629	5	1	1	0
okresní silnice	49.97964	14.07521	2	0	0	0
Ulice Berounská	49.98882	14.05477	1	0	0	0
Beroun-Závodí - Hýskov	49.98830	14.04863	1	1	0	0
Hýskov - Nižbor	49.99084	14.03556	6	3	0	0
Hýskov - Nižbor	50.00255	14.00281	1	0	0	0
Rakovník - TOS Rakovník	50.10155	13.72023	4	6	0	1
VÚ 1859 Rakovník - Chrášťany	50.10988	13.68838	1	0	0	0
Kněževes	50.12917	13.66376	3	0	0	0
Hořesedly	50.16733	13.64243	5	1	0	0
Domoušice - Hřivice	50.23070	13.71305	1	0	0	0
Hřivice - Louny předměstí	50.32157	13.74641	1	1	0	0
Hřivice - Louny předměstí	50.32715	13.75135	2	2	1	0
Čížkovice - Třebenice	50.47903	14.03453	1	0	0	0
Třebívlice - Libčeves	50.44443	13.85528	1	0	0	0
u Barev a Laků	50.23773	14.30654	4	0	0	0
k zahrádkám	50.16778	14.36385	1	0	0	0
