obeti_usmr	obeti_lehc	obeti_tezc	prejezd_id
0	0	0	P4950
0	0	0	P3608
0	0	0	P5731
1	0	0	P551
0	0	0	P1059
0	1	0	P2330
0	0	0	P2331
0	0	0	P1056
0	0	0	P48
0	0	0	P2335
0	0	0	P5771
0	1	0	P4933
0	0	0	P4933
1	0	0	P269
0	0	0	P2218
0	0	0	P2214
0	0	0	P270
0	0	0	P1576
0	0	0	P5576
0	1	0	P1107
0	1	0	P1577
0	0	0	P6099
0	0	0	P6135
0	0	1	P5570
0	0	0	P1597
0	2	0	P1085
0	0	0	P5603
0	0	0	P5594
0	0	0	P6459
0	0	0	P484
0	1	0	P486
0	0	0	P484
0	0	0	P1032
0	1	0	P1422
1	1	0	P965
0	0	0	P965
0	0	0	P1370
0	0	0	P947
0	1	0	P1387
0	0	0	P6309
0	0	0	P6248
0	0	0	P6322
0	1	0	P6101
0	0	0	P6248
0	0	0	P6387
0	0	0	P706
0	0	1	P687
0	1	0	P687
0	0	0	P632
0	0	0	P936
1	0	0	P938
0	0	0	P899
0	0	0	P847
0	4	1	P941
0	0	0	P899
0	0	0	P598
0	0	0	P286
0	0	0	P298
0	0	0	P1681
0	0	0	P870
0	0	0	P1678
0	0	1	P3537
0	0	0	P3543
0	0	0	P2581
0	0	0	P3459
0	1	0	P3467
0	0	0	P2959
0	0	0	P2422
0	1	0	P2542
0	0	0	P2273
0	0	0	P2959
0	0	0	P2964
0	0	0	P2960
0	0	0	P1924
0	0	0	P63
0	1	0	P2284
0	1	0	P1703
0	0	0	P2161
0	0	0	P2164
0	0	0	P1945
0	0	0	P1948
0	0	0	P1947
0	0	0	P2059
0	0	0	P2085
0	1	2	P2965
0	0	0	P3991
0	0	0	P4450
0	0	0	P5378
0	0	1	P5222
0	0	0	P5223
0	1	0	P4014
0	1	0	P4675
0	0	0	P4467
0	0	0	P3115
0	0	0	P5091
0	0	0	P5097
0	1	0	P4107
0	0	0	P4880
0	0	0	P4038
0	0	0	P4107
0	0	0	P4136
0	0	0	P4513
1	0	0	P5236
0	0	0	P4539
0	0	0	P6811
0	0	0	P6805
0	0	0	P7071
0	0	0	P7898
0	1	0	P3950
0	0	0	P3821
0	0	0	P8345
0	1	0	P8151
0	0	0	P8345
0	0	0	P8134
0	2	0	P8141
0	0	0	P7924
0	2	0	P3962
0	0	0	P7719
0	0	0	P7549
0	0	0	P8308
0	0	1	P8302
0	0	0	P7367
0	0	1	P7396
0	0	0	P7408
0	0	1	P8271
0	0	0	P8278
0	0	0	P8330
0	1	0	P8340
0	1	0	P8295
0	0	0	P8292
0	0	0	P6510
0	0	0	P6699
0	0	1	P7847
0	0	0	P7808
0	0	0	P7890
0	0	0	P7735
0	1	0	P7812
0	6	0	P7770
0	0	1	P7737
1	0	0	P7725
0	1	0	P6520
0	1	0	P7604
0	0	0	P7519
0	0	0	P6518
0	0	0	P6664
0	0	0	P6525
0	0	0	P6527
0	0	0	P8177
0	0	0	P6656
0	0	0	P4148
0	0	0	P4268
0	0	0	P4342
0	1	0	P6546
0	0	0	P6542
0	1	0	P6542
0	0	0	P6547
0	0	0	P8164
0	0	0	P8236
0	1	0	P8240
0	0	0	P7243
0	0	0	P8175
0	3	0	P7272
1	0	0	P8172
0	0	0	P7953
0	0	1	P7957
1	0	0	P7420
0	3	0	P7426
0	0	0	P8053
0	0	0	P7417
0	0	0	P3812
0	0	0	P3642
0	0	0	P3836
0	0	0	P3836
0	0	0	P3640
0	0	0	P3662
0	0	0	P3836
1	2	0	P3643
0	0	0	P7039
0	0	0	P5272
0	0	0	P5259
0	0	0	P5893
0	1	0	P5271
0	0	0	P6204
0	0	0	P5299
0	0	0	P5334
0	0	0	P3760
0	0	0	P6824
0	0	0	P6847
0	0	0	P5190
0	0	0	P5209
0	0	0	P4889
0	0	0	P4889
0	0	0	P5200
0	0	0	P3253
0	0	0	P3395
0	1	0	P3240
0	0	0	P5544
0	0	0	P2842
0	0	0	P2819
0	0	0	P2883
0	0	0	P3112
0	0	0	P2899
0	1	0	P100
0	1	0	P301
0	0	0	P156
0	0	0	P255
0	5	0	P394
0	0	0	P366
0	0	0	P85
0	1	0	P405
0	0	0	P147
0	0	0	P89
0	0	0	P2199
0	0	1	P5790
0	0	0	P5690
0	0	0	P4956
0	0	0	P4637
0	1	1	P3208
0	0	0	P2779
0	0	0	P2229
