obeti_usmr	obeti_lehc	obeti_tezc	prejezd_id
0	0	0	P1139
0	2	0	P488
0	0	0	P715
0	1	0	P172
0	0	0	P405
0	0	1	P299
0	0	0	P2416
0	2	0	P3367
0	0	0	P4485
0	0	0	P4676
0	1	0	P4696
0	0	0	P4534
0	1	0	P4523
0	0	0	P4788
0	2	0	P8223
0	1	0	P8134
0	0	0	P7938
0	1	0	P3765
0	2	0	P5258
0	1	2	P8326
0	0	1	P7604
0	1	0	P7744
0	3	0	P4199
0	0	0	P7275
1	0	0	P3854
0	0	0	P3681
0	2	1	P2819
0	0	0	P100
0	0	0	P5674
0	0	0	P2192
1	0	2	P2200
0	0	0	P263
0	0	0	P262
0	0	0	P261
0	0	0	P1
0	0	0	P2656
0	0	0	P2199
0	0	0	P3
0	1	2	P10
0	0	0	P2658
0	0	0	P262
0	0	0	P4
0	0	0	P3617
0	0	0	P2656
0	0	0	P2658
0	0	0	P2658
0	0	1	P10
1	0	0	P11
0	0	0	P2655
0	0	0	P1
0	0	0	P9
0	0	0	P262
0	0	0	P6029
0	0	0	P5778
0	0	0	P6053
0	0	0	P5662
0	0	0	P6029
0	0	0	P5689
0	0	0	P5678
1	0	0	P5690
0	0	0	P6063
0	0	0	P5795
0	2	0	P6061
0	0	0	P5790
0	0	0	P5678
0	0	0	P2315
0	0	0	P2320
0	0	0	P279
0	0	0	P2319
0	0	0	P279
0	1	0	P278
0	0	0	P592
0	0	0	P557
0	1	0	P575
0	0	0	P2319
0	1	0	P584
0	1	0	P2318
0	0	0	P275
0	0	0	P2319
0	0	0	P30
0	0	0	P2451
0	0	1	P2447
0	0	0	P21
0	0	0	P24
0	0	0	P2105
0	0	0	P2106
0	0	0	P31
0	1	0	P2133
0	0	0	P2262
0	0	0	P2449
0	0	0	P20
0	0	0	P2116
0	0	0	P2573
1	0	1	P2564
1	1	0	P2124
0	0	0	P2447
0	0	0	P2447
0	1	0	P2448
0	0	0	P22
0	0	0	P2448
0	1	2	P2140
0	0	0	P4926
0	0	0	P4975
0	1	0	P4920
0	0	0	P4979
0	0	0	P5911
0	0	0	P5904
1	0	0	P3580
0	0	0	P8396
0	1	0	P4975
0	1	0	P3738
0	0	0	P3723
0	0	0	P3716
1	0	1	P3747
0	0	0	P3737
0	0	1	P3737
0	0	0	P5827
0	0	0	P3723
0	2	1	P5857
0	0	0	P3719
1	0	0	P3724
0	0	0	P3737
0	0	0	P2999
0	1	0	P2439
0	0	0	P3022
0	0	0	P2394
0	1	0	P2403
0	0	0	P2999
0	1	0	P3031
0	4	0	P2752
3	0	0	P2939
0	0	0	P2405
0	0	0	P2409
0	0	0	P2394
0	0	0	P2439
0	0	0	P2405
0	0	0	P2675
0	0	0	P2670
0	0	0	P2677
0	0	1	P2473
0	0	0	P2440
0	0	0	P2670
0	0	0	P2403
0	0	0	P2675
0	0	0	P2931
0	0	0	P2783
1	0	0	P2762
0	0	0	P3022
0	0	0	P2394
0	0	0	P2673
0	1	0	P2944
0	0	0	P3207
0	0	0	P4636
0	0	0	P3199
0	0	0	P4642
0	0	0	P2695
0	0	0	P2806
0	0	0	P4655
0	1	0	P4638
0	0	0	P2779
0	0	0	P3311
0	2	0	P2706
0	0	0	P2806
1	0	2	P2692
1	0	0	P2804
0	0	0	P2715
1	0	0	P2805
0	1	0	P4637
0	0	0	P2706
0	0	0	P2803
0	0	0	P2697
0	0	0	P4642
0	3	2	P2804
0	0	0	P4642
0	0	0	P2709
2	3	1	P2805
0	0	0	P4638
0	0	0	P4650
0	0	1	P2778
0	0	0	P2692
0	0	0	P4646
0	1	0	P4940
0	0	0	P2772
0	0	0	P3590
0	0	0	P4576
0	0	0	P3595
0	0	0	P3606
0	0	0	P4592
0	0	0	P3588
0	0	0	P4940
0	0	1	P4579
0	0	0	P3606
0	0	0	P2923
0	0	0	P4937
0	0	0	P3973
0	0	0	P3606
0	0	0	P3611
1	0	0	P2789
0	0	0	P3968
0	0	0	P4931
0	1	0	P2789
0	0	0	P525
0	0	0	P6078
0	0	0	P537
0	0	0	P531
0	0	0	P551
0	0	0	P525
0	0	0	P525
0	0	0	P537
0	1	0	P5738
0	0	0	P5733
0	0	0	P525
0	0	1	P5735
0	0	0	P531
0	0	0	P525
0	0	0	P525
0	0	0	P525
0	0	0	P544
0	0	0	P526
0	0	0	P544
0	0	0	P6092
0	0	0	P550
0	0	0	P544
2	0	0	P527
0	3	0	P2330
0	0	0	P1047
0	0	0	P2332
0	0	0	P47
0	0	0	P2335
1	0	0	P2330
0	0	0	P2332
0	2	0	P2330
0	0	0	P1047
0	0	0	P2332
0	0	0	P1047
0	0	0	P47
0	0	0	P1047
0	0	0	P264
0	0	0	P2230
0	0	0	P18
0	0	0	P5754
0	0	0	P19
0	0	0	P2779
0	0	0	P268
0	0	0	P268
0	0	0	P3615
0	0	0	P3615
0	0	0	P2779
0	0	0	P5754
0	0	0	P267
0	0	0	P270
0	0	0	P2767
0	0	0	P19
0	0	0	P5754
0	0	0	P5671
0	0	0	P5756
0	0	0	P270
0	0	1	P2229
0	0	0	P2729
0	0	0	P2663
0	0	0	P5754
0	0	0	P19
0	0	0	P2662
0	0	0	P19
0	0	0	P270
0	0	0	P270
0	0	0	P2236
0	0	0	P2731
0	0	0	P2726
0	0	0	P2230
0	0	0	P2232
0	0	0	P265
0	0	0	P5666
0	0	0	P5671
0	0	0	P2662
0	0	0	P4933
0	0	0	P264
0	0	0	P264
0	0	0	P5754
0	0	0	P5581
0	0	0	P5575
0	1	0	P1564
1	0	0	P5576
0	1	0	P1564
0	2	0	P1123
0	0	3	P6093
0	0	0	P1081
0	2	0	P6094
1	0	0	P1563
0	0	0	P1133
0	0	0	P1133
0	0	0	P5579
0	0	0	P1576
0	0	0	P5579
0	0	0	P6099
0	0	0	P1594
0	0	0	P6115
0	0	0	P5563
0	0	0	P1584
0	0	0	P6110
1	0	0	P6123
0	0	0	P1603
0	0	0	P6116
0	1	0	P5563
0	0	0	P5563
0	2	0	P6158
1	0	0	P6146
0	0	1	P1085
0	0	1	P5628
0	0	0	P6176
0	0	0	P6442
0	0	0	P6156
0	0	0	P6141
0	0	0	P5582
0	0	0	P5603
0	0	0	P5606
0	0	0	P5622
0	0	0	P6141
0	0	0	P5622
0	0	0	P1085
0	1	0	P6147
0	1	0	P5603
0	0	0	P1085
0	0	0	P6156
0	0	0	P5628
0	1	0	P6443
0	0	0	P6164
0	0	0	P5615
0	0	0	P5602
0	0	0	P5592
0	0	0	P5602
0	0	0	P5596
0	0	0	P5607
0	0	0	P6353
0	0	0	P6353
0	1	0	P3807
0	0	0	P6351
0	0	0	P6185
0	0	0	P6353
0	0	0	P6340
0	0	0	P3805
0	1	0	P6351
0	0	1	P488
0	0	0	P1150
0	0	1	P516
0	2	3	P6259
0	0	0	P1148
0	0	0	P505
0	0	0	P6280
0	0	0	P6270
0	0	0	P505
0	0	0	P1150
0	1	0	P1148
1	0	0	P1149
1	0	0	P516
0	0	0	P491
0	1	0	P486
0	1	0	P989
0	0	0	P1558
0	0	0	P984
0	0	0	P984
0	0	0	P1496
0	0	0	P947
0	0	0	P1419
0	0	0	P1166
0	0	0	P1352
0	0	0	P1383
0	0	0	P948
0	1	0	P944
1	0	0	P1422
0	0	0	P1339
0	0	0	P1144
0	0	0	P6101
0	1	0	P5645
0	0	0	P6248
0	0	0	P5631
0	0	0	P5637
0	0	0	P687
0	0	0	P633
0	0	0	P615
0	0	0	P683
0	0	0	P695
1	0	0	P686
0	2	0	P705
0	0	0	P633
0	0	0	P615
0	4	0	P691
0	2	0	P717
0	2	0	P616
0	0	0	P615
0	0	0	P706
0	0	0	P318
0	0	0	P318
0	0	0	P333
0	0	0	P94
0	0	0	P100
0	0	0	P331
0	0	0	P117
0	0	0	P105
0	0	0	P308
0	0	0	P326
0	0	0	P318
0	0	1	P113
0	0	0	P149
0	0	0	P379
0	0	0	P83
0	0	0	P82
0	2	0	P155
0	0	0	P155
0	0	0	P157
1	5	0	P208
0	0	0	P171
0	0	0	P78
0	0	0	P1799
0	0	0	P149
0	0	1	P155
0	0	0	P149
0	0	0	P156
0	0	0	P85
0	0	0	P899
0	0	0	P916
0	0	0	P899
0	0	0	P930
0	0	0	P941
0	0	0	P1178
0	0	0	P845
0	0	0	P847
0	0	0	P913
0	0	0	P916
0	0	0	P1180
0	0	0	P1178
0	0	0	P845
0	0	0	P921
0	0	0	P1178
0	0	0	P921
0	0	0	P1178
0	0	0	P884
0	0	1	P598
0	1	0	P1671
0	0	0	P1191
0	0	0	P1190
1	0	0	P872
0	0	0	P1184
0	0	0	P1184
0	0	0	P1200
0	1	0	P647
0	0	0	P1684
0	0	0	P599
0	0	0	P1681
0	0	0	P1757
0	0	0	P646
0	0	0	P1675
1	0	0	P1673
1	0	1	P1679
0	0	0	P647
0	0	0	P286
0	1	0	P1671
0	0	0	P448
0	1	0	P1679
0	0	0	P1208
0	0	0	P457
0	1	0	P1207
0	0	0	P459
0	0	0	P1211
0	0	0	P473
0	0	0	P1217
0	0	0	P1208
0	0	0	P405
0	0	0	P137
0	0	0	P90
0	0	0	P140
0	0	0	P135
0	1	0	P255
0	0	0	P90
0	0	0	P130
0	1	0	P792
0	1	0	P784
0	0	0	P290
0	0	0	P799
0	0	0	P299
0	0	0	P732
0	0	0	P3385
0	0	0	P3240
0	0	0	P3414
0	3	0	P3417
0	0	0	P3402
0	0	0	P2642
0	0	0	P3407
0	0	0	P2578
0	0	0	P2437
0	1	0	P2634
0	0	0	P3533
0	1	0	P3480
0	0	0	P3540
0	0	0	P3545
0	0	0	P2437
0	1	0	P3486
0	0	0	P2600
0	0	0	P2992
0	1	0	P3532
0	0	0	P3471
0	0	0	P2600
0	0	0	P2004
0	0	0	P2995
0	0	1	P1994
0	0	0	P1963
0	0	0	P1963
0	0	0	P74
0	0	0	P1963
0	0	0	P1890
0	0	1	P1995
0	0	0	P69
0	0	0	P74
0	0	0	P1967
0	0	0	P1963
0	0	0	P1983
0	1	1	P1963
2	0	0	P1961
0	1	0	P5528
0	0	0	P5528
0	0	0	P5536
0	0	0	P5528
0	0	0	P5545
0	0	0	P5493
0	1	0	P5497
0	0	0	P5497
0	0	0	P5521
1	0	0	P5522
1	1	0	P2813
0	0	0	P2888
0	0	0	P2878
0	0	1	P3436
0	0	0	P3426
0	0	0	P3098
0	0	0	P3436
0	0	0	P3436
0	0	0	P2877
0	0	0	P3066
0	0	0	P3065
0	0	0	P3423
0	0	0	P2850
0	0	0	P2720
1	0	0	P2828
0	1	0	P2852
0	0	0	P5502
0	0	1	P2720
0	0	0	P2816
0	0	0	P3098
0	0	0	P3426
0	0	0	P2909
0	0	0	P5507
0	0	0	P2842
0	0	0	P3346
0	0	0	P2957
0	0	0	P2957
0	0	0	P2959
0	0	1	P2309
0	0	0	P2309
0	0	0	P2958
0	1	1	P3345
0	0	0	P2417
0	0	0	P2948
0	0	0	P2537
0	1	0	P2964
0	0	0	P2554
0	0	0	P2954
0	0	0	P2959
0	0	0	P2959
0	0	0	P2071
0	1	0	P2537
0	2	0	P2537
0	0	0	P2488
0	0	0	P2964
0	0	0	P3367
0	0	0	P3367
0	1	0	P3346
0	0	0	P2416
0	0	0	P1712
0	1	0	P1927
0	0	0	P65
0	1	0	P66
0	0	0	P1923
0	0	1	P1714
0	0	0	P66
0	0	0	P67
0	0	0	P1706
0	0	0	P1921
0	5	0	P1721
0	0	0	P66
0	1	0	P2158
0	0	0	P2154
0	0	0	P1710
0	0	0	P50
0	0	0	P2381
0	0	0	P1931
0	0	0	P1923
0	0	0	P62
0	0	0	P1702
0	1	0	P1987
0	0	0	P2166
0	0	0	P1987
0	0	0	P1987
0	0	0	P1947
0	0	0	P2048
0	0	0	P1944
0	0	0	P2098
0	1	0	P1945
0	0	0	P2091
0	0	0	P1947
0	0	0	P1941
0	0	0	P2052
0	0	0	P2099
0	0	0	P1986
0	0	0	P1947
0	0	0	P2099
0	0	0	P2079
0	0	0	P2424
0	0	0	P2426
0	1	0	P2424
0	0	0	P2431
0	0	0	P1940
0	0	0	P2077
0	0	0	P2424
0	1	0	P2079
0	0	0	P3083
0	1	0	P4761
0	1	0	P5278
0	0	0	P3698
0	0	0	P3791
0	0	0	P5893
0	0	0	P5874
0	0	0	P5272
0	0	0	P3795
0	0	0	P3708
0	0	0	P3690
0	1	0	P3678
0	0	0	P3798
0	0	0	P3980
0	0	0	P4453
0	1	0	P5384
0	0	0	P5378
0	0	0	P4014
0	0	0	P3983
0	0	0	P5215
0	0	0	P4019
0	0	0	P3983
0	0	0	P3983
0	0	0	P5429
0	0	0	P5368
0	1	1	P5221
0	0	0	P4014
0	0	0	P3990
0	1	0	P4459
0	1	0	P5379
0	0	0	P4453
0	0	0	P3990
0	0	0	P4448
0	2	0	P5221
0	1	0	P5222
0	0	0	P3980
0	0	0	P5389
0	0	0	P5221
0	0	0	P4014
0	0	0	P4453
0	0	0	P4444
0	1	1	P4435
0	1	0	P5379
0	0	0	P4450
0	0	0	P4016
0	1	0	P5369
0	0	0	P6910
0	0	0	P5013
0	0	0	P5045
0	0	0	P5003
0	0	1	P4991
0	0	0	P5304
0	0	0	P5051
0	0	0	P4990
0	0	0	P5329
0	0	0	P4999
0	1	0	P4991
0	0	0	P5297
0	0	0	P4622
0	0	0	P3134
0	1	0	P4484
0	0	0	P3134
0	0	0	P4462
0	0	0	P4698
1	0	0	P3068
0	0	0	P4627
0	0	0	P4462
0	0	0	P4462
0	0	0	P4736
0	0	0	P5394
0	0	0	P4675
0	0	0	P4484
1	0	0	P5409
0	0	0	P4486
0	0	0	P4627
0	1	0	P3163
0	0	0	P4627
0	1	0	P3154
0	0	0	P4629
0	0	0	P4620
0	0	0	P4676
0	0	0	P5091
0	0	0	P5438
0	0	0	P5433
0	0	0	P4854
0	0	0	P5100
0	0	0	P5091
0	0	0	P5101
0	0	0	P5091
0	0	0	P5110
0	0	0	P5110
0	0	0	P5442
0	0	0	P5442
0	0	0	P5442
0	0	0	P5097
0	0	0	P5110
0	0	0	P5117
0	0	0	P5099
0	0	0	P5028
0	0	0	P4898
0	0	0	P4903
0	0	0	P4894
0	1	0	P5072
0	0	0	P4874
0	0	0	P5366
0	0	0	P5357
0	0	0	P4903
0	0	0	P4914
0	0	0	P5030
0	0	0	P4903
0	0	0	P4911
0	0	0	P4903
0	0	0	P4903
0	0	0	P4912
0	0	0	P4913
0	0	0	P5087
0	0	0	P5079
0	0	0	P4124
0	0	0	P5087
0	0	0	P5081
0	0	0	P5079
0	1	0	P4107
0	0	0	P4111
1	0	0	P3181
0	0	0	P4720
0	0	0	P4763
0	0	0	P3075
0	0	0	P3168
0	1	0	P3169
0	0	0	P4746
0	3	1	P6896
0	1	0	P6847
0	1	0	P6622
0	0	0	P6871
0	0	0	P6819
0	0	0	P6834
0	0	0	P6834
0	0	0	P6829
0	0	0	P6823
0	0	0	P5231
0	0	0	P5488
0	0	0	P5488
0	0	0	P4534
0	0	0	P4836
0	0	0	P4517
0	0	0	P4782
0	0	0	P4511
0	0	0	P4513
0	0	0	P4543
0	0	0	P4783
1	0	0	P4546
0	0	0	P4517
0	0	0	P4789
0	0	0	P5235
0	0	0	P4523
0	0	0	P4783
0	0	0	P4523
0	0	0	P4536
0	0	0	P4553
0	0	0	P4513
0	0	0	P5231
0	0	0	P5231
0	1	0	P4529
0	0	0	P4798
0	0	0	P4530
0	0	0	P5231
0	0	0	P4538
0	0	1	P4794
0	0	0	P4538
0	1	0	P4556
0	0	0	P4175
0	1	0	P4184
0	0	0	P5193
0	0	0	P4073
0	0	0	P4867
0	0	0	P6647
0	0	0	P5161
0	0	0	P4891
0	1	0	P5176
0	0	0	P4889
0	1	0	P4058
0	0	0	P6975
0	0	0	P6805
0	0	0	P6805
0	0	0	P6806
0	0	0	P6805
0	0	0	P6815
0	0	0	P6805
0	0	0	P6805
0	0	0	P6972
0	0	0	P6797
0	0	0	P6837
0	0	0	P6837
0	0	0	P3946
0	0	0	P6983
0	2	0	P3945
0	0	0	P3941
0	0	0	P7101
0	0	0	P6796
0	0	0	P7090
0	0	0	P6795
0	0	0	P7133
0	1	0	P7110
0	2	0	P7000
1	0	0	P8152
0	0	0	P8151
0	0	0	P7099
0	0	0	P8151
1	0	0	P7000
0	0	0	P7139
0	0	0	P7148
0	2	2	P8011
0	0	0	P8244
0	0	0	P8253
0	1	0	P8044
0	0	0	P8233
0	0	1	P8230
0	0	0	P8235
0	0	0	P8170
0	0	0	P8013
0	0	0	P8233
0	0	0	P8233
0	0	0	P8043
0	0	0	P8045
1	0	0	P8224
0	1	0	P8251
0	0	0	P8170
0	0	0	P8014
0	0	0	P8046
0	0	0	P8233
0	0	1	P8236
0	0	0	P8224
0	0	0	P8003
0	1	0	P7945
0	1	0	P7934
0	0	0	P7943
0	0	0	P8136
0	0	0	P8155
0	0	0	P8134
0	1	0	P7164
0	0	0	P8148
0	1	0	P7164
0	0	0	P8158
0	0	0	P8155
0	0	0	P8153
1	0	0	P7945
0	0	0	P8133
0	1	0	P8146
0	0	0	P7169
0	0	0	P8134
0	0	1	P8134
0	0	0	P8140
1	1	1	P7165
0	0	0	P8141
0	1	0	P6434
0	0	0	P6409
0	0	0	P6426
0	0	0	P6471
0	0	0	P3809
0	0	0	P6415
0	0	0	P7308
0	0	0	P7243
0	1	0	P7248
0	0	0	P7250
0	0	0	P7309
0	0	0	P8174
0	1	0	P7275
0	0	0	P8175
0	0	1	P7258
0	0	0	P7322
0	0	1	P7263
0	0	0	P8173
0	0	0	P3868
0	0	0	P3866
0	0	0	P3868
0	0	0	P3875
2	0	0	P3639
0	0	0	P3836
0	0	0	P3908
0	0	0	P3875
0	0	0	P3894
0	1	0	P3875
0	1	0	P3903
1	0	0	P7958
1	0	0	P7990
0	0	0	P8162
0	0	0	P7971
0	0	0	P7983
0	2	1	P7973
1	0	1	P8032
0	0	0	P7195
0	0	0	P7924
0	0	0	P8024
1	0	0	P7190
0	0	1	P7190
0	1	0	P7188
0	0	0	P7908
0	0	0	P7912
0	1	0	P7913
0	0	0	P7915
0	0	0	P7118
0	1	0	P3625
0	0	0	P3937
0	2	0	P3624
0	0	0	P7128
0	1	0	P3931
0	0	0	P3932
0	0	0	P7045
0	0	0	P7054
0	2	0	P7022
0	0	0	P7419
0	0	0	P8055
0	0	0	P7333
0	0	0	P8054
0	0	0	P7333
0	0	0	P8061
0	0	0	P7426
0	0	0	P8052
0	0	0	P7333
0	0	0	P7424
0	0	0	P8053
0	0	0	P8076
0	0	0	P8053
0	0	0	P7333
0	1	0	P8074
0	0	0	P8051
0	0	0	P7410
0	0	0	P8053
0	0	0	P5872
0	0	0	P3690
0	0	0	P7557
0	0	0	P7555
1	0	1	P7749
0	0	2	P7665
0	0	0	P7555
0	0	0	P7544
0	2	0	P7703
0	0	0	P7555
0	0	0	P7757
0	0	0	P7555
0	0	0	P8306
0	1	0	P7387
0	0	0	P8271
1	0	0	P7390
1	0	0	P7380
0	0	0	P7400
0	1	0	P7390
0	0	1	P8340
0	0	0	P7468
0	0	0	P8271
0	2	0	P7476
0	0	0	P6533
0	0	0	P6510
0	0	0	P8343
0	0	0	P8287
0	0	0	P8290
0	0	0	P6533
0	0	0	P6511
0	0	0	P6517
0	0	0	P8290
0	0	0	P8289
0	0	0	P6517
0	0	0	P6511
0	0	0	P6510
0	0	0	P6496
0	1	0	P6777
0	0	0	P6708
0	0	0	P6497
0	0	0	P6497
0	0	0	P6495
0	0	0	P6496
0	0	0	P6496
0	0	0	P6495
0	0	0	P6501
0	0	0	P6497
1	2	1	P7481
0	4	0	P6718
0	0	0	P6497
0	0	0	P6497
0	0	0	P6496
0	0	0	P6497
0	0	0	P6497
0	0	0	P6709
0	0	0	P6496
0	0	0	P6506
0	0	0	P6496
1	0	0	P7531
0	1	0	P7620
0	0	0	P4199
0	0	0	P7613
0	0	0	P6521
0	0	0	P6520
0	0	0	P4207
0	0	0	P7647
0	0	0	P7611
0	0	0	P4220
1	0	1	P7618
0	0	0	P7614
0	0	0	P6521
0	0	0	P7541
0	0	0	P7520
0	0	0	P4199
0	0	0	P6518
0	1	0	P7522
0	0	0	P7534
0	0	0	P7808
0	0	0	P7599
0	0	0	P7611
1	2	1	P6660
0	0	0	P7611
0	1	0	P7525
0	0	0	P7638
0	0	0	P4207
0	0	0	P6520
0	1	1	P7611
0	1	0	P7599
0	1	0	P7741
0	0	0	P7846
0	1	0	P7812
0	0	0	P7847
0	0	0	P7745
0	0	0	P7745
0	1	0	P7743
0	4	0	P7812
0	0	0	P7745
0	0	0	P6745
1	0	0	P7767
0	2	0	P7822
0	1	0	P7808
0	12	0	P7812
0	0	0	P7881
0	0	0	P6509
0	0	0	P6508
0	0	0	P7399
0	0	0	P8297
0	0	0	P6508
0	0	0	P6527
0	0	0	P7202
0	0	0	P6527
0	0	0	P7204
0	0	0	P7202
0	0	0	P8177
0	0	0	P7201
0	0	0	P6491
0	0	0	P7201
0	0	0	P7223
0	0	0	P6525
0	0	0	P6525
0	0	0	P6525
0	0	0	P6525
0	0	0	P6526
0	0	0	P6492
0	0	0	P8177
0	0	0	P4283
0	1	0	P6654
0	1	0	P4237
0	0	0	P4249
0	1	0	P4253
0	2	0	P4238
0	0	0	P4346
0	0	0	P4287
0	0	0	P4303
0	0	0	P4288
0	0	0	P4305
0	9	1	P6563
0	1	0	P6547
0	1	0	P7199
0	0	1	P7593
0	0	0	P7199
0	0	0	P262
0	0	0	P13
0	0	0	P2653
0	0	0	P5729
0	1	1	P261
0	0	0	P263
0	0	0	P1
0	0	0	P2660
0	0	0	P262
0	0	0	P9
0	1	0	P2197
0	0	0	P2656
0	0	0	P2660
0	3	0	P5804
0	6	0	P5678
0	0	0	P5689
0	0	0	P6061
0	0	0	P5777
0	0	0	P6054
0	0	0	P274
0	0	0	P275
0	0	0	P275
0	0	0	P558
0	0	0	P2317
0	0	0	P279
0	0	0	P2119
0	0	0	P22
0	0	0	P2134
0	0	0	P29
0	0	0	P20
0	0	0	P2137
0	0	1	P35
0	0	0	P2254
0	0	0	P30
0	0	0	P4926
0	0	0	P3576
0	2	0	P5901
0	0	0	P3577
0	0	0	P4920
0	0	0	P3723
0	0	0	P3737
0	0	0	P5961
0	0	0	P3737
0	0	0	P3738
0	0	0	P3713
0	0	0	P2936
0	0	0	P2782
0	0	0	P2937
0	0	0	P2466
0	0	0	P2941
0	0	0	P2104
0	0	0	P2670
0	0	1	P2931
0	0	0	P2471
0	0	0	P2471
0	0	0	P2469
0	0	0	P3001
1	0	0	P2669
0	0	0	P2933
0	0	0	P2469
0	0	0	P2469
0	1	0	P3022
0	0	0	P2478
0	0	0	P2474
0	1	0	P4646
0	0	0	P4646
0	0	0	P2688
0	1	0	P4642
0	0	0	P2800
0	0	0	P4649
0	0	0	P4638
0	0	0	P2792
0	0	0	P4642
0	1	0	P2695
0	0	0	P2704
0	0	0	P4650
0	0	0	P4650
1	0	0	P3611
0	0	0	P3969
0	0	1	P3583
0	0	0	P2923
0	0	0	P3588
0	0	0	P4613
0	0	0	P1313
0	0	0	P5739
0	0	0	P5739
0	0	0	P522
0	1	0	P6087
0	0	0	P5731
0	1	0	P544
0	1	0	P2335
0	0	0	P37
0	0	0	P1740
0	0	0	P2335
0	0	0	P1047
0	0	0	P1729
0	0	0	P5723
0	0	1	P5671
0	0	0	P5719
0	0	0	P2726
0	0	0	P2662
0	0	0	P2662
0	1	0	P2248
