X,Y,id,obec,datum,komunikace,komunika_1,zavineni,ridic_kate,ridic_ovli,vinik_alko,ridic_stav,obeti_usmr,obeti_lehc,obeti_tezc,vozidel_ce,vinik_vozi,vinik_vo_1,skoda,unik_hmot,vinik_vo_2,vinik_vo_3,vinik_vo_4,vinik_skod,vyprosteni,nehoda_cha,srazka_voz,hlavni_pri,povrch_sta,meteo,rozhled,nehoda_pol,prednost_v,smerove_po,druh_krizu,smer_jizdy,nehoda_dru,pevna_prek,povrch_dru,komunika_2,viditelnos,komunika_3,rizeni_pro,objekty,misto_neho,smyk,neighbors_TargetID,neighbors_Distance,neighbors_prejezdy-dec_Název definičního úseku,neighbors_prejezdy-dec_Žkm přejezdu,neighbors_prejezdy-dec_Přejezd s trolejovým vedením,neighbors_prejezdy-dec_Třída pozemní komunikace,neighbors_prejezdy-dec_Číslo pozemní komunikace,neighbors_prejezdy-dec_Místní název přejezdu,neighbors_prejezdy-dec_Zeměpisná šířka,neighbors_prejezdy-dec_Zeměpisná délka,neighbors_prejezdy-dec_field_10,neighbors_prejezdy-dec_field_11
13.642420478292028,50.167332829881936,11206130340,Kněževes (Středočeský kraj),2013-09-09 04:00:00,silnice 1.třídy,6,řidičem motorového vozidla,nezjištěno,jiné ovlivnění,nezjišťováno,jiný nepříznivý stav,0,0,0,1,žádná z uvedených,žádná z uvedených,50,žádné z uvedených,"nezjištěno, řidič ujel",,žádná z uvedených,0,žádná z uvedených,nehoda pouze s hmotnou škodou,"nepřichází v úvahu, nejde o srážku jedou",jiný druh nesprávného způsobu jízdy,povrch mokrý,déšť,dobré,na jízdním pruhu,žádná místní úprava,přímý úsek,neurčeno,žádná z uvedených,srážka s pevnou překážkou,závory železničního přejezdu,živice,"dobrý, bez závad","v noci - bez veřejného osvětlení, vidite",dvoupruhová,žádný způsob řízení provozu,železniční přejezd zabezpečený,mimo křižovatku,ne,P2335,0.748108195165,Chrášťany - Hořesedly,"11,948",Ne,I.,6,Hořesedly,50° 10' 02.39283'' N,13° 38' 32.74326'' E,50.16733,13.64243
14.378237046766285,49.920112190762964,11406130014,Vrané nad Vltavou (Středočeský kraj),2013-01-01 11:45:00,komunikace místní,0,řidičem motorového vozidla,s řidičským oprávněním skupiny b,řidič nebyl ovlivněn,ne,dobrý -žádné nepříznivé okolnosti nebyly zjištěny,0,0,0,2,PEUGEOT,žádná z uvedených,500,"došlo k úniku pohonných hmot, oleje, chl",osobní automobil bez přívěsu,2000,"soukromé, nevyužívané k výdělečné činnos",300,nebylo třeba užít násilí,nehoda pouze s hmotnou škodou,z boku,nesprávné otáčení nebo couvání,povrch mokrý,neztížené,dobré,mimo komunikaci,žádná místní úprava,přímý úsek,neurčeno,vozidlo jedoucí - na komunikaci bez stan,srážka s vlakem,"nepřichází v úvahu, nejde o srážku s pev",štěrk,nesouvislé výtluky,"ve dne, viditelnost nezhoršená vlivem po",dvoupruhová,žádný způsob řízení provozu,železniční přejezd zabezpečený,mimo křižovatku,ne,P5771,15.9777252774,Davle - Skochovice,"34,706",Ne,MK,,"souběh trati 1711: km 34,706",49° 55' 11.97284'' N,14° 22' 41.23969'' E,49.91999,14.37812
14.724796996865027,50.073240634131757,11506130205,Úvaly (Středočeský kraj),2013-05-05 11:30:00,silnice 3.třídy,1214,řidičem nemotorového vozidla,ostatní řidiči vozidel,řidič nebyl ovlivněn,nezjišťováno,dobrý -žádné nepříznivé okolnosti nebyly zjištěny,0,1,0,1,žádná z uvedených,žádná z uvedených,10,žádné z uvedených,jízdní kolo,,"soukromé, nevyužívané k výdělečné činnos",0,nebylo třeba užít násilí,nehoda s následky na životě nebo zdraví,"nepřichází v úvahu, nejde o srážku jedou",jiné nedání přednosti,"povrch suchý, neznečistěný",neztížené,dobré,na jízdním pruhu,žádná místní úprava,křižovatka styková - tříramenná,místní komunikace,zachycuje směr jízdy křižovatkou,srážka s pevnou překážkou,závory železničního přejezdu,živice,"dobrý, bez závad","ve dne, viditelnost nezhoršená vlivem po",dvoupruhová,světelným signalizačním zařízením,železniční přejezd zabezpečený,"na křižovatce, uvnitř hranic křižovatky",ne,P4933,2.36277703431,žst. Úvaly,"387,452",Ano,III.,1214,Úvalský,50° 04' 23.66390'' N,14° 43' 29.39744'' E,50.07324,14.72483
14.724871139941472,50.07323991939122,11506130449,Úvaly (Středočeský kraj),2013-09-11 10:50:00,silnice 3.třídy,1214,řidičem motorového vozidla,"nezjištěno, řidič místo nehody opustil",jiné ovlivnění,nezjišťováno,jiný nepříznivý stav,0,0,0,1,IVECO,nedošlo k požáru,80,žádné z uvedených,"nákladní automobil (včetně multikáry, au",2008,"soukromá organizace (podnikatel, s.r.o.,",0,nebylo třeba užít násilí,nehoda pouze s hmotnou škodou,"nepřichází v úvahu, nejde o srážku jedou",řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,na jízdním pruhu,žádná místní úprava,křižovatka styková - tříramenná,silnice 3.třídy,zachycuje směr jízdy křižovatkou,srážka s pevnou překážkou,závory železničního přejezdu,živice,"dobrý, bez závad","ve dne, viditelnost nezhoršená vlivem po",dvoupruhová,světelným signalizačním zařízením,železniční přejezd zabezpečený,"na křižovatce, uvnitř hranic křižovatky",ne,P4933,2.94542599866,žst. Úvaly,"387,452",Ano,III.,1214,Úvalský,50° 04' 23.66390'' N,14° 43' 29.39744'' E,50.07324,14.72483
14.283630437532434,49.926829938887394,11606130012,Dobřichovice (Středočeský kraj),2013-01-10 14:49:00,komunikace místní,0,řidičem nemotorového vozidla,ostatní řidiči vozidel,řidič nebyl ovlivněn,ne,dobrý -žádné nepříznivé okolnosti nebyly zjištěny,1,0,0,2,žádná z uvedených,nedošlo k požáru,80,žádné z uvedených,jízdní kolo,,"soukromé, nevyužívané k výdělečné činnos",30,nebylo třeba užít násilí,nehoda s následky na životě nebo zdraví,z boku,jiné nedání přednosti,"povrch suchý, neznečistěný",neztížené,dobré,na jízdním pruhu,žádná místní úprava,přímý úsek,neurčeno,vozidlo jedoucí - na komunikaci bez stan,srážka s vlakem,"nepřichází v úvahu, nejde o srážku s pev",živice,"dobrý, bez závad","ve dne, viditelnost nezhoršená vlivem po",dvoupruhová,světelným signalizačním zařízením,železniční přejezd zabezpečený,mimo křižovatku,ne,P269,15.484200819,žst. Dobřichovice,"19,979",Ano,III.,,ul. Svážná,49° 55' 36.15543'' N,14° 17' 01.45273'' E,49.92671,14.28374
14.229184060174319,50.025074562803546,11606130209,Nučice (Středočeský kraj),2013-05-05 23:59:00,silnice 3.třídy,517,řidičem motorového vozidla,nezjištěno,jiné ovlivnění,ne,jiný nepříznivý stav,0,0,0,1,žádná z uvedených,žádná z uvedených,100,žádné z uvedených,"nezjištěno, řidič ujel",,žádná z uvedených,0,žádná z uvedených,nehoda pouze s hmotnou škodou,"nepřichází v úvahu, nejde o srážku jedou",jiný druh nesprávného způsobu jízdy,"povrch suchý, neznečistěný",neztížené,dobré,na jízdním pruhu,žádná místní úprava,přímý úsek,neurčeno,žádná z uvedených,srážka s pevnou překážkou,závory železničního přejezdu,živice,"dobrý, bez závad","v noci - bez veřejného osvětlení,viditel",dvoupruhová,světelným signalizačním zařízením,železniční přejezd zabezpečený,mimo křižovatku,ne,P2218,4.70891036959,Nučice - Ing. Fr. Hustoles,"15,117",Ne,III.,517,,50° 01' 30.39456'' N,14° 13' 45.17668'' E,50.02511,14.22922
14.196030606796462,50.008257212615796,11606130323,Nučice (Středočeský kraj),2013-06-25 20:30:00,komunikace místní,0,řidičem motorového vozidla,s řidičským oprávněním skupiny b,řidič nebyl ovlivněn,ne,dobrý -žádné nepříznivé okolnosti nebyly zjištěny,0,0,0,1,ŠKODA,nedošlo k požáru,50,žádné z uvedených,osobní automobil bez přívěsu,1996,"soukromé, nevyužívané k výdělečné činnos",50,nebylo třeba užít násilí,nehoda pouze s hmotnou škodou,"nepřichází v úvahu, nejde o srážku jedou",řidič se plně nevěnoval řízení vozidla,povrch mokrý,neztížené,dobré,na jízdním pruhu,přednost nevyznačena - vyplývá z pravide,přímý úsek,neurčeno,vozidlo jedoucí - na komunikaci bez stan,havárie,"nepřichází v úvahu, nejde o srážku s pev",jiný nezpevněný povrch,"dobrý, bez závad","v noci - bez veřejného osvětlení,viditel",dvoupruhová,místní úprava (vyplní se pol. 24),železniční přejezd nezabezpečený,mimo křižovatku,ne,P2214,9.79705911947,Loděnice - Nučice-odb. KND,"11,778",Ne,O,,,50° 00' 29.41441'' N,14° 11' 45.76660'' E,50.00817,14.19605
14.276785419242605,49.924935053015489,11606130328,Dobřichovice (Středočeský kraj),2013-06-29 16:56:00,komunikace místní,0,řidičem motorového vozidla,"nezjištěno, řidič místo nehody opustil",jiné ovlivnění,ne,jiný nepříznivý stav,0,0,0,2,MAZDA,nedošlo k požáru,200,žádné z uvedených,osobní automobil bez přívěsu,2000,"soukromé, nevyužívané k výdělečné činnos",0,nebylo třeba užít násilí,nehoda pouze s hmotnou škodou,z boku,"jízda po nesprávné straně, vjetí do protisměru","povrch suchý, neznečistěný",neztížené,dobré,na jízdním pruhu,přednost nevyznačena - vyplývá z pravide,křižovatka styková - tříramenná,místní komunikace,vozidlo jedoucí - na komunikaci bez stan,srážka s jedoucím nekolejovým vozidlem,"nepřichází v úvahu, nejde o srážku s pev",živice,"dobrý, bez závad","ve dne, viditelnost nezhoršená vlivem po",dvoupruhová,místní úprava (vyplní se pol. 24),železniční přejezd zabezpečený,"na křižovatce,jedná-li se o křížení siln",ne,P270,6.21214125887,Dobřichovice - Řevnice,"20,514",Ano,III.,11510,u mostu,49° 55' 29.97342'' N,14° 16' 36.36239'' E,49.92499,14.27677
14.357191483295496,48.917001287492837,20106130068,Vrábče (Jihočeský kraj),2013-01-20 01:00:00,silnice 2.třídy,143,řidičem motorového vozidla,"nezjištěno, řidič místo nehody opustil",jiné ovlivnění,nezjišťováno,jiný nepříznivý stav,0,0,0,1,RENAULT,nedošlo k požáru,1100,"došlo k úniku pohonných hmot, oleje, chl",osobní automobil bez přívěsu,1996,"soukromé, nevyužívané k výdělečné činnos",300,nebylo třeba užít násilí,nehoda pouze s hmotnou škodou,"nepřichází v úvahu, nejde o srážku jedou","nepř. rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)","na vozovce je náledí, ujetý sníh - posyp","tvoří se námraza, náledí",dobré,mimo komunikaci,přednost vyznačena dopravními značkami,přímý úsek,neurčeno,jedoucí - ve směru staničení na komunika,srážka s pevnou překážkou,"jiná překážka (zábradlí,oplocení,násep,n",živice,"dobrý, bez závad","v noci - s veřejným osvětlením,viditelno",dvoupruhová,místní úprava (vyplní se pol. 24),železniční přejezd zabezpečený,mimo křižovatku,ano,P1576,28.0801389561,Boršov nad Vltavou - Křemže,"11,05",Ne,II.,143,Vrábče,48° 55' 00.59351'' N,14° 21' 24.86158'' E,48.91683,14.35691
14.455629880544681,48.894067048878171,20106130251,Kamenný Újezd (Jihočeský kraj),2013-03-15 12:15:00,komunikace místní,0,řidičem motorového vozidla,s řidičským oprávněním skupiny d,řidič nebyl ovlivněn,ne,dobrý -žádné nepříznivé okolnosti nebyly zjištěny,0,0,0,1,VOLVO,nedošlo k požáru,210,žádné z uvedených,"nákladní automobil (včetně multikáry, au",2006,"soukromá organizace (podnikatel, s.r.o.,",10,nebylo třeba užít násilí,nehoda pouze s hmotnou škodou,"nepřichází v úvahu, nejde o srážku jedou",řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,na jízdním pruhu,přednost vyznačena dopravními značkami,přímý úsek,neurčeno,vozidlo jedoucí - na komunikaci bez stan,srážka s pevnou překážkou,"sloup - telefonní, veř.osvětlení, el.ved",živice,"dobrý, bez závad","ve dne, viditelnost nezhoršená vlivem po",dvoupruhová,místní úprava (vyplní se pol. 24),železniční přejezd zabezpečený,mimo křižovatku,ne,P5576,3.73041526973,Kamenný Újezd u Č.Budějovic - Včelná,"106,182",Ano,MK,,za žst.Kamenný Újezd u Č.B.,48° 53' 38.54141'' N,14° 27' 20.36320'' E,48.89404,14.45566
